step,x,y,r,phi
247,-69.2426,-35.5795,77.8488,-2.66694
248,-68.7354,-35.7158,77.4608,-2.66238
249,-68.2278,-35.852,77.074,-2.65777
250,-67.7197,-35.9878,76.6882,-2.65312
251,-67.2112,-36.1235,76.3037,-2.64843
252,-66.7022,-36.2588,75.9203,-2.64368
253,-66.1928,-36.3939,75.5381,-2.63889
254,-65.6828,-36.5288,75.157,-2.63405
255,-65.1723,-36.6634,74.7772,-2.62916
256,-64.6614,-36.7976,74.3987,-2.62422
257,-64.1499,-36.9316,74.0213,-2.61923
258,-63.6379,-37.0653,73.6452,-2.61418
259,-63.1253,-37.1987,73.2704,-2.60909
260,-62.6123,-37.3318,72.8969,-2.60394
261,-62.0986,-37.4645,72.5247,-2.59875
262,-61.5844,-37.5969,72.1538,-2.59349
263,-61.0697,-37.729,71.7842,-2.58819
264,-60.5543,-37.8607,71.4161,-2.58282
265,-60.0384,-37.992,71.0493,-2.57741
266,-59.5218,-38.1229,70.6838,-2.57193
267,-59.0047,-38.2535,70.3198,-2.5664
268,-58.4869,-38.3836,69.9573,-2.56082
269,-57.9685,-38.5134,69.5961,-2.55517
270,-57.4494,-38.6427,69.2365,-2.54947
271,-56.9297,-38.7715,68.8783,-2.5437
272,-56.4093,-38.8999,68.5216,-2.53788
273,-55.8883,-39.0279,68.1665,-2.532
274,-55.3665,-39.1553,67.8129,-2.52605
275,-54.8441,-39.2823,67.4609,-2.52004
276,-54.3209,-39.4087,67.1104,-2.51397
277,-53.7971,-39.5346,66.7616,-2.50784
278,-53.2725,-39.66,66.4144,-2.50164
279,-52.7471,-39.7848,66.0688,-2.49537
280,-52.221,-39.9091,65.7249,-2.48904
281,-51.6941,-40.0328,65.3827,-2.48265
282,-51.1664,-40.1558,65.0422,-2.47618
283,-50.6379,-40.2782,64.7035,-2.46965
284,-50.1087,-40.4,64.3664,-2.46305
285,-49.5786,-40.5212,64.0312,-2.45638
286,-49.0476,-40.6416,63.6978,-2.44965
287,-48.5158,-40.7614,63.3662,-2.44283
288,-47.9831,-40.8804,63.0364,-2.43595
289,-47.4496,-40.9987,62.7085,-2.429
290,-46.9152,-41.1162,62.3825,-2.42197
291,-46.3799,-41.2329,62.0584,-2.41487
292,-45.8436,-41.3488,61.7362,-2.4077
293,-45.3065,-41.4639,61.416,-2.40045
294,-44.7684,-41.5781,61.0978,-2.39313
295,-44.2293,-41.6914,60.7816,-2.38572
296,-43.6893,-41.8038,60.4675,-2.37825
297,-43.1483,-41.9153,60.1554,-2.37069
298,-42.6063,-42.0258,59.8453,-2.36305
299,-42.0633,-42.1353,59.5374,-2.35534
300,-41.5193,-42.2438,59.2317,-2.34755
301,-40.9743,-42.3512,58.9281,-2.33967
302,-40.4282,-42.4576,58.6266,-2.33171
303,-39.881,-42.5628,58.3274,-2.32368
304,-39.3328,-42.6669,58.0305,-2.31556
305,-38.7835,-42.7699,57.7358,-2.30735
306,-38.2331,-42.8716,57.4434,-2.29906
307,-37.6816,-42.9721,57.1533,-2.29069
308,-37.1289,-43.0713,56.8656,-2.28224
309,-36.5752,-43.1692,56.5802,-2.27369
310,-36.0203,-43.2657,56.2972,-2.26506
311,-35.4642,-43.3608,56.0167,-2.25635
312,-34.907,-43.4546,55.7386,-2.24755
313,-34.3485,-43.5468,55.463,-2.23865
314,-33.7889,-43.6376,55.19,-2.22967
315,-33.2281,-43.7268,54.9194,-2.22061
316,-32.6662,-43.8144,54.6514,-2.21145
317,-32.1029,-43.9004,54.3861,-2.2022
318,-31.5385,-43.9847,54.1233,-2.19286
319,-30.9728,-44.0673,53.8632,-2.18343
320,-30.4059,-44.1482,53.6058,-2.17391
321,-29.8377,-44.2272,53.351,-2.1643
322,-29.2683,-44.3044,53.0991,-2.1546
323,-28.6976,-44.3797,52.8499,-2.14481
324,-28.1257,-44.453,52.6034,-2.13492
325,-27.5525,-44.5243,52.3599,-2.12494
326,-26.978,-44.5936,52.1191,-2.11487
327,-26.4022,-44.6608,51.8812,-2.1047
328,-25.8252,-44.7258,51.6463,-2.09444
329,-25.2469,-44.7886,51.4143,-2.08409
330,-24.6673,-44.8492,51.1852,-2.07364
331,-24.0865,-44.9074,50.9591,-2.06311
332,-23.5043,-44.9633,50.7361,-2.05247
333,-22.9209,-45.0167,50.5161,-2.04175
334,-22.3362,-45.0677,50.2992,-2.03093
335,-21.7503,-45.1161,50.0853,-2.02002
336,-21.1631,-45.162,49.8747,-2.00901
337,-20.5747,-45.2051,49.6671,-1.99792
338,-19.985,-45.2456,49.4628,-1.98673
339,-19.3941,-45.2833,49.2617,-1.97545
340,-18.8021,-45.3182,49.0638,-1.96407
341,-18.2088,-45.3502,48.8692,-1.95261
342,-17.6143,-45.3792,48.6779,-1.94105
343,-17.0186,-45.4052,48.4899,-1.92941
344,-16.4218,-45.4282,48.3052,-1.91767
345,-15.8238,-45.448,48.1239,-1.90584
346,-15.2248,-45.4646,47.946,-1.89393
347,-14.6246,-45.478,47.7716,-1.88193
348,-14.0234,-45.488,47.6006,-1.86984
349,-13.4211,-45.4947,47.433,-1.85766
350,-12.8178,-45.498,47.269,-1.8454
351,-12.2135,-45.4977,47.1085,-1.83306
